x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,label
0.0,0.0,-0.09979361295700073,-0.05778539180755615,-0.18970471620559692,-0.19832533597946167,-0.25263017416000366,-0.30628496408462524,-0.3076609969139099,-0.3638584017753601,-0.1397985816001892,-0.32923275232315063,-0.16746371984481812,-0.422362744808197,-0.1439034342765808,-0.300570011138916,-0.1278165578842163,-0.280006468296051,-0.0724441409111023,-0.33723798394203186,-0.09752094745635986,-0.408568799495697,-0.08760881423950195,-0.2662339210510254,-0.07510977983474731,-0.2713695764541626,-0.005358338356018066,-0.33054620027542114,-0.027278602123260498,-0.3965376019477844,-0.026763737201690674,-0.2651534676551819,-0.011480748653411865,-0.26223546266555786,0.060269951820373535,-0.3198055624961853,0.041482627391815186,-0.37840551137924194,0.03004765510559082,-0.2913464307785034,0.04189658164978027,-0.27630794048309326,A
0.0,0.0,-0.09555542469024658,-0.05327427387237549,-0.1907336711883545,-0.17314928770065308,-0.250704824924469,-0.27940136194229126,-0.2606627941131592,-0.37129801511764526,-0.14625543355941772,-0.30807924270629883,-0.17373722791671753,-0.4000011086463928,-0.1500234603881836,-0.28105586767196655,-0.13537490367889404,-0.26183563470840454,-0.08051002025604248,-0.317585825920105,-0.10341984033584595,-0.3869355320930481,-0.09140199422836304,-0.24911433458328247,-0.08177900314331055,-0.2610759735107422,-0.013632535934448242,-0.3142065405845642,-0.03395801782608032,-0.37889307737350464,-0.030295968055725098,-0.2544977068901062,-0.017208755016326904,-0.25830382108688354,0.05216008424758911,-0.30580636858940125,0.033079445362091064,-0.36638084053993225,0.023817777633666992,-0.281006395816803,0.03480851650238037,-0.2660267949104309,A
0.0,0.0,-0.08168834447860718,-0.05454367399215698,-0.15659940242767334,-0.14957696199417114,-0.20056897401809692,-0.23837214708328247,-0.20596373081207275,-0.3066292107105255,-0.114718496799469,-0.24315163493156433,-0.11553597450256348,-0.3237850069999695,-0.10385733842849731,-0.2404448688030243,-0.10376602411270142,-0.2066042721271515,-0.06268048286437988,-0.24978101253509521,-0.06584572792053223,-0.3208332061767578,-0.06152617931365967,-0.22078639268875122,-0.06829667091369629,-0.20602849125862122,-0.011811971664428711,-0.24602308869361877,-0.011371076107025146,-0.317861407995224,-0.012613475322723389,-0.2285459041595459,-0.01746976375579834,-0.20733460783958435,0.037551164627075195,-0.23455068469047546,0.03756403923034668,-0.2887990474700928,0.029692232608795166,-0.22713634371757507,0.025859415531158447,-0.20465484261512756,A
0.0,0.0,-0.08112508058547974,-0.05473661422729492,-0.15575724840164185,-0.14953076839447021,-0.2002050280570984,-0.2384968101978302,-0.20549416542053223,-0.3070298433303833,-0.11401528120040894,-0.24346807599067688,-0.1151888370513916,-0.3242894411087036,-0.10342919826507568,-0.24097687005996704,-0.10327625274658203,-0.2077023983001709,-0.06203275918960571,-0.2501639127731323,-0.06546390056610107,-0.32149478793144226,-0.06123930215835571,-0.2214987576007843,-0.06798285245895386,-0.20702174305915833,-0.011093497276306152,-0.24650320410728455,-0.010936617851257324,-0.31862011551856995,-0.012293040752410889,-0.2293243110179901,-0.017084062099456787,-0.20847567915916443,0.03833979368209839,-0.23498627543449402,0.038147687911987305,-0.28934794664382935,0.030109822750091553,-0.22770440578460693,0.02633434534072876,-0.20527604222297668,A
0.0,0.0,-0.08436514437198639,-0.06401646137237549,-0.16189749538898468,-0.16922342777252197,-0.21076834201812744,-0.26592618227005005,-0.24295853078365326,-0.3432009518146515,-0.09552507102489471,-0.28675490617752075,-0.12084957957267761,-0.36933958530426025,-0.11664415895938873,-0.2791364789009094,-0.10343098640441895,-0.24448686838150024,-0.04184028506278992,-0.28927361965179443,-0.06534406542778015,-0.3675230145454407,-0.06897133588790894,-0.255760133266449,-0.05433061718940735,-0.24392473697662354,0.014891654253005981,-0.2795863151550293,-0.0063239336013793945,-0.36403971910476685,-0.01456877589225769,-0.25969040393829346,-0.001295238733291626,-0.23608577251434326,0.07340171933174133,-0.25940805673599243,0.05407652258872986,-0.3275541365146637,0.04090598225593567,-0.25754010677337646,0.05183914303779602,-0.23071306943893433,A
0.0,0.0,-0.11492222547531128,-0.07539904117584229,-0.22588247060775757,-0.20865008234977722,-0.2960969805717468,-0.3389226496219635,-0.3214684724807739,-0.43962107598781586,-0.15903237462043762,-0.3558030128479004,-0.1719261109828949,-0.4662800133228302,-0.1524844765663147,-0.33778995275497437,-0.1454312801361084,-0.2918289601802826,-0.08477848768234253,-0.36960569024086,-0.10170894861221313,-0.47198085486888885,-0.09176933765411377,-0.3201993703842163,-0.08930063247680664,-0.29670897126197815,-0.011834323406219482,-0.36536699533462524,-0.025976955890655518,-0.46878862380981445,-0.02535349130630493,-0.3315463364124298,-0.022725462913513184,-0.2992542088031769,0.059948503971099854,-0.3495091199874878,0.04464435577392578,-0.4316006302833557,0.03373372554779053,-0.34154435992240906,0.037425100803375244,-0.3117016851902008,A
0.0,0.0,-0.057344675064086914,-0.03876537084579468,-0.10887700319290161,-0.09577542543411255,-0.1433984637260437,-0.15173321962356567,-0.1529533863067627,-0.19914287328720093,-0.07132256031036377,-0.1676914095878601,-0.08655253052711487,-0.21987974643707275,-0.07965263724327087,-0.16348201036453247,-0.07235834002494812,-0.13943874835968018,-0.037800133228302,-0.1710537075996399,-0.05386537313461304,-0.2163044810295105,-0.05143052339553833,-0.14874815940856934,-0.04528731107711792,-0.13930577039718628,-0.0035864710807800293,-0.16815882921218872,-0.017602145671844482,-0.2167244553565979,-0.01886218786239624,-0.15394997596740723,-0.011652588844299316,-0.13899165391921997,0.03223651647567749,-0.1599779725074768,0.018377602100372314,-0.20340806245803833,0.011593401432037354,-0.16280466318130493,0.01855522394180298,-0.14651858806610107,A
0.0,0.0,-0.12229162454605103,-0.06734120845794678,-0.22214072942733765,-0.1570512354373932,-0.28919824957847595,-0.25924772024154663,-0.30665020644664764,-0.3534541428089142,-0.15435391664505005,-0.2963358163833618,-0.18278318643569946,-0.3964635133743286,-0.1719399094581604,-0.2978503108024597,-0.15697532892227173,-0.23592644929885864,-0.09158653020858765,-0.3150532394647598,-0.1220320463180542,-0.41622988879680634,-0.11435112357139587,-0.28853462636470795,-0.09845054149627686,-0.24080324172973633,-0.026668250560760498,-0.3152082562446594,-0.0555495023727417,-0.419326588511467,-0.05436283349990845,-0.30051271617412567,-0.04045307636260986,-0.25286024808883667,0.04473137855529785,-0.29672133922576904,0.014241337776184082,-0.3808577060699463,0.0038126111030578613,-0.2978884428739548,0.014853745698928833,-0.25940433144569397,A
0.0,0.0,-0.08327293395996094,-0.0701214075088501,-0.1661282777786255,-0.18516767024993896,-0.21920526027679443,-0.294391930103302,-0.2202070951461792,-0.3788682818412781,-0.11964929103851318,-0.29292744398117065,-0.11336171627044678,-0.38561129570007324,-0.10498309135437012,-0.28531450033187866,-0.1099424958229065,-0.24874910712242126,-0.060308992862701416,-0.29295745491981506,-0.05644702911376953,-0.3730045557022095,-0.05743175745010376,-0.2543739974498749,-0.07105857133865356,-0.2462238073348999,-0.0031005144119262695,-0.28296908736228943,0.002663850784301758,-0.36143460869789124,-0.003405451774597168,-0.2592453062534332,-0.013794243335723877,-0.2425418198108673,0.05224078893661499,-0.26515433192253113,0.05474281311035156,-0.32437536120414734,0.04373431205749512,-0.2527570128440857,0.03669852018356323,-0.2296382188796997,A
0.0,0.0,-0.10585141181945801,-0.0938529372215271,-0.1886913776397705,-0.18322986364364624,-0.24544113874435425,-0.2794606685638428,-0.24604558944702148,-0.3573644161224365,-0.1372208595275879,-0.2847333550453186,-0.1428014636039734,-0.3772425055503845,-0.1374884843826294,-0.29352691769599915,-0.1367362141609192,-0.23849284648895264,-0.08036166429519653,-0.29619741439819336,-0.08517557382583618,-0.39323876798152924,-0.08537906408309937,-0.27988946437835693,-0.09048157930374146,-0.23523995280265808,-0.023225605487823486,-0.28567153215408325,-0.02188807725906372,-0.3796961009502411,-0.030171453952789307,-0.2781299352645874,-0.03454458713531494,-0.2263193428516388,0.03337299823760986,-0.2562398910522461,0.032060861587524414,-0.3234580159187317,0.01583850383758545,-0.2541353106498718,0.01076120138168335,-0.21947211027145386,A
